task,target_day,business_day,ds,hour_business,period,y_true,actual_available_at,source_file
realtime,2026-01-25,2026-01-25,2026-01-25 01:00:00,1,1_8,301.561,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,333.527,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 23:00:00,23,17_24,386.387,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 22:00:00,22,17_24,490.202,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 21:00:00,21,17_24,457.861,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 20:00:00,20,17_24,390.47,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 19:00:00,19,17_24,357.897,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 17:00:00,17,17_24,414.759,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 16:00:00,16,9_16,337.436,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 15:00:00,15,9_16,303.185,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 14:00:00,14,9_16,160.21,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 13:00:00,13,9_16,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 18:00:00,18,17_24,393.081,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 11:00:00,11,9_16,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 12:00:00,12,9_16,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 03:00:00,3,1_8,273.141,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 04:00:00,4,1_8,85.363,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 05:00:00,5,1_8,86.544,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 06:00:00,6,1_8,26.423,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 02:00:00,2,1_8,282.316,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 08:00:00,8,1_8,67.228,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 09:00:00,9,9_16,192.092,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 10:00:00,10,9_16,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-25,2026-01-25,2026-01-25 07:00:00,7,1_8,-80.0,2026-06-27T02:41:21.570567+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 14:00:00,14,9_16,394.373,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-27 00:00:00,24,17_24,315.845,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 23:00:00,23,17_24,323.133,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 22:00:00,22,17_24,356.098,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 21:00:00,21,17_24,354.098,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 20:00:00,20,17_24,401.106,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 19:00:00,19,17_24,463.411,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 17:00:00,17,17_24,486.036,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 16:00:00,16,9_16,373.916,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 15:00:00,15,9_16,356.98,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 13:00:00,13,9_16,442.419,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 18:00:00,18,17_24,534.75,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 11:00:00,11,9_16,1275.122,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 02:00:00,2,1_8,334.93,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 03:00:00,3,1_8,334.594,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,334.254,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,329.854,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,329.201,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 01:00:00,1,1_8,331.888,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,324.586,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,1291.302,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 12:00:00,12,9_16,1051.962,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,332.64,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 09:00:00,9,9_16,813.45,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 13:00:00,13,9_16,-6.38,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 23:00:00,23,17_24,339.641,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 22:00:00,22,17_24,368.057,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 21:00:00,21,17_24,375.904,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-28 00:00:00,24,17_24,328.505,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 19:00:00,19,17_24,369.22,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 18:00:00,18,17_24,362.823,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 17:00:00,17,17_24,396.675,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 16:00:00,16,9_16,355.313,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 15:00:00,15,9_16,293.262,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 14:00:00,14,9_16,259.493,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 20:00:00,20,17_24,382.194,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 12:00:00,12,9_16,103.769,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 10:00:00,10,9_16,276.831,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 09:00:00,9,9_16,461.351,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 08:00:00,8,1_8,362.605,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 07:00:00,7,1_8,324.288,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 06:00:00,6,1_8,325.141,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 05:00:00,5,1_8,328.237,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 04:00:00,4,1_8,328.429,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 03:00:00,3,1_8,331.928,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 02:00:00,2,1_8,322.468,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 01:00:00,1,1_8,327.456,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 11:00:00,11,9_16,244.008,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 15:00:00,15,9_16,322.207,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 16:00:00,16,9_16,349.929,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 17:00:00,17,17_24,366.493,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 19:00:00,19,17_24,355.658,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 14:00:00,14,9_16,305.702,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 21:00:00,21,17_24,347.462,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 22:00:00,22,17_24,350.397,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 23:00:00,23,17_24,335.955,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-29 00:00:00,24,17_24,328.687,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 20:00:00,20,17_24,355.044,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 13:00:00,13,9_16,264.582,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 18:00:00,18,17_24,350.387,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 11:00:00,11,9_16,317.725,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 01:00:00,1,1_8,307.809,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 02:00:00,2,1_8,300.599,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 03:00:00,3,1_8,307.591,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 04:00:00,4,1_8,299.844,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 05:00:00,5,1_8,302.857,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 12:00:00,12,9_16,307.019,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 07:00:00,7,1_8,302.427,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 08:00:00,8,1_8,327.586,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 09:00:00,9,9_16,360.272,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 10:00:00,10,9_16,328.581,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-28,2026-01-28,2026-01-28 06:00:00,6,1_8,303.19,2026-06-27T03:08:21.660876+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 16:00:00,16,9_16,338.239,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 15:00:00,15,9_16,315.491,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 17:00:00,17,17_24,357.699,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 18:00:00,18,17_24,353.771,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 19:00:00,19,17_24,335.223,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 21:00:00,21,17_24,330.0,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 14:00:00,14,9_16,312.127,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 22:00:00,22,17_24,332.565,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 23:00:00,23,17_24,319.071,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-30 00:00:00,24,17_24,312.553,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 20:00:00,20,17_24,331.923,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 13:00:00,13,9_16,316.567,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 12:00:00,12,9_16,322.114,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 11:00:00,11,9_16,311.089,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 10:00:00,10,9_16,325.224,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 09:00:00,9,9_16,338.219,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 08:00:00,8,1_8,324.584,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 07:00:00,7,1_8,322.403,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 06:00:00,6,1_8,325.09,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 05:00:00,5,1_8,324.865,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 04:00:00,4,1_8,326.405,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 03:00:00,3,1_8,330.81,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 02:00:00,2,1_8,331.888,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-29,2026-01-29,2026-01-29 01:00:00,1,1_8,327.123,2026-06-27T03:17:18.235586+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 14:00:00,14,9_16,140.158,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 15:00:00,15,9_16,342.394,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 16:00:00,16,9_16,355.427,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 17:00:00,17,17_24,365.734,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 18:00:00,18,17_24,373.575,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 23:00:00,23,17_24,341.383,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 20:00:00,20,17_24,361.049,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 21:00:00,21,17_24,356.611,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 22:00:00,22,17_24,357.841,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 13:00:00,13,9_16,-80.0,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 19:00:00,19,17_24,366.11,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-31 00:00:00,24,17_24,334.715,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 12:00:00,12,9_16,-74.77,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 10:00:00,10,9_16,332.772,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 01:00:00,1,1_8,338.337,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 02:00:00,2,1_8,340.402,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 03:00:00,3,1_8,344.076,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 04:00:00,4,1_8,340.974,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 11:00:00,11,9_16,17.177,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 06:00:00,6,1_8,332.74,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 07:00:00,7,1_8,331.233,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 08:00:00,8,1_8,335.575,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 09:00:00,9,9_16,349.791,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-30,2026-01-30,2026-01-30 05:00:00,5,1_8,336.943,2026-06-27T03:26:16.408628+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 14:00:00,14,9_16,340.368,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 15:00:00,15,9_16,335.554,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 16:00:00,16,9_16,343.596,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 17:00:00,17,17_24,353.649,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 18:00:00,18,17_24,358.488,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 20:00:00,20,17_24,350.507,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 21:00:00,21,17_24,347.644,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-31,2026-01-31,2026-01-31 22:00:00,22,17_24,343.571,2026-06-27T03:35:28.421893+00:00,data/shandong_pmos_hourly.xlsx
